item,pulse_strength,tempo,tonal_entropy,harmonic_share,centroid,flatness,rms_cv,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
AW2-002,0.2793793024462949,71.77734375,3.043503522872925,0.6090265512466431,1902.838364274148,0.015684330835938454,0.6678605079650879,-219.5904541015625,114.1163558959961,15.377632141113281,11.291969299316406,0.1448546051979065,0.9437722563743591,-2.8049373626708984,-0.5852640867233276,-4.232136249542236,9.025581359863281,1.805108666419983,2.248823404312134,-1.2997533082962036
AW2-018,0.22464266130466873,73.828125,3.2931697368621826,0.8550832867622375,1759.3096569245454,0.004345310386270285,0.5973130464553833,-338.6888732910156,99.61380767822266,30.03640365600586,14.447240829467773,7.804410457611084,11.130847930908203,3.124661445617676,-3.116755962371826,-10.155071258544922,-2.0198888778686523,0.8907662630081177,5.303579807281494,-1.2443376779556274
BM1-Iatmul5,0.40480460661012585,215.33203125,2.5145375728607178,0.6506151556968689,852.5259396854976,0.0006301456014625728,0.3613233268260956,-357.1607971191406,185.85296630859375,-4.542694091796875,-4.366388320922852,5.256228923797607,9.908804893493652,4.934388160705566,6.908196926116943,4.81473445892334,8.809778213500977,3.9106335639953613,3.089620351791382,2.2117254734039307
BP2-94T7,0.35420960326558426,234.90767045454547,3.328874111175537,0.15683594346046448,2455.8064243658346,0.054522063583135605,1.0251661539077759,-295.38616943359375,94.01338195800781,-4.307143688201904,2.970242738723755,1.0331854820251465,-2.970477342605591,-27.021045684814453,-11.385798454284668,-21.375686645507812,1.3629190921783447,-5.350109577178955,6.557019233703613,-0.9272320866584778
CF1-005,0.4884308106062787,123.046875,2.570493459701538,0.8668102025985718,1092.7571409789307,0.0004421958583407104,0.7163938879966736,-390.5328063964844,150.9752655029297,-15.250053405761719,-6.718424320220947,6.644542217254639,-20.862964630126953,-19.154924392700195,-11.467992782592773,-6.909893989562988,0.46522918343544006,-0.3513948619365692,3.977835178375244,7.474304676055908
CH1-200206,0.22163777796023787,198.76802884615384,3.159360885620117,0.45323798060417175,2092.730057059474,0.03443407639861107,0.8811373114585876,-346.6143798828125,106.50929260253906,-0.29999881982803345,18.976051330566406,-7.056500434875488,0.14369533956050873,-23.818910598754883,-1.3806849718093872,-21.648117065429688,-4.032712936401367,-10.891176223754883,-0.7982915043830872,-10.677955627441406
CLV1-020,0.4373961110570215,60.09265988372093,3.252925157546997,0.42372676730155945,1474.3374236938455,0.0011794796446338296,0.3529724180698395,-254.95977783203125,153.97303771972656,-64.34210968017578,26.705957412719727,-43.29767990112305,-18.797340393066406,-16.972484588623047,-19.361324310302734,-2.778505563735962,-2.448019504547119,-5.284297466278076,-8.897974014282227,-5.2919182777404785
CM1-002,0.25843452712094045,234.90767045454547,3.4266881942749023,0.5164011120796204,2108.39427467056,0.0411110445857048,0.950394868850708,-351.4499816894531,97.53042602539062,-0.49157631397247314,16.56538200378418,-1.2674623727798462,-12.975910186767578,-14.311881065368652,-9.966288566589355,-15.108945846557617,-4.796915054321289,-5.695992469787598,-4.990207672119141,-9.790120124816895
CR1-030,0.22403909937548258,258.3984375,3.4955344200134277,0.5442066192626953,1897.902604065539,0.03607723489403725,1.214450478553772,-436.4389343261719,112.94528198242188,5.5140910148620605,4.623043537139893,7.972692966461182,2.8091588020324707,0.36658450961112976,-0.9581255912780762,-18.416065216064453,-17.21715545654297,-1.3697091341018677,-2.447784662246704,-7.124553680419922
CS2-27,0.2656033254987741,258.3984375,3.5078511238098145,0.2462405413389206,2068.7247591499963,0.016122857108712196,0.9630502462387085,-283.8533020019531,96.94673156738281,-1.0851773023605347,24.891536712646484,1.9364523887634277,3.748072385787964,1.4242500066757202,1.0163803100585938,-1.8048118352890015,9.436988830566406,-2.724975824356079,2.809431791305542,-1.4483642578125
